case_id	label	x	y	z	block_state	expected
block-and_2_gate	and_2_gate representative state	174	100	174	morered:and_2_gate[facing=down,rotation=0]	stock-resource-visible
block-and_gate	and_gate representative state	177	100	174	morered:and_gate[facing=down,rotation=1]	stock-resource-visible
block-bitwise_and_gate	bitwise_and_gate representative state	180	100	174	morered:bitwise_and_gate[facing=down,rotation=2]	stock-resource-visible
block-bitwise_diode	bitwise_diode representative state	183	100	174	morered:bitwise_diode[facing=down,rotation=3]	stock-resource-visible
block-bitwise_not_gate	bitwise_not_gate representative state	186	100	174	morered:bitwise_not_gate[facing=down,rotation=0]	stock-resource-visible
block-bitwise_or_gate	bitwise_or_gate representative state	189	100	174	morered:bitwise_or_gate[facing=down,rotation=1]	stock-resource-visible
block-bitwise_xnor_gate	bitwise_xnor_gate representative state	192	100	174	morered:bitwise_xnor_gate[facing=down,rotation=2]	stock-resource-visible
block-bitwise_xor_gate	bitwise_xor_gate representative state	174	100	177	morered:bitwise_xor_gate[facing=down,rotation=3]	stock-resource-visible
block-bundled_cable_post	bundled_cable_post representative state	177	100	177	morered:bundled_cable_post[facing=down]	stock-resource-visible
block-bundled_cable_relay_plate	bundled_cable_relay_plate representative state	180	100	177	morered:bundled_cable_relay_plate[facing=down]	stock-resource-visible
block-diode	diode representative state	183	100	177	morered:diode[facing=down,rotation=2]	stock-resource-visible
block-hexidecrubrometer	hexidecrubrometer representative state	186	100	177	morered:hexidecrubrometer[face=floor,facing=north,power=0]	stock-resource-visible
block-latch	latch representative state	189	100	177	morered:latch[facing=down,rotation=0]	stock-resource-visible
block-multiplexer	multiplexer representative state	192	100	177	morered:multiplexer[facing=down,rotation=1,input_b=false]	stock-resource-visible
block-nand_2_gate	nand_2_gate representative state	174	100	180	morered:nand_2_gate[facing=down,rotation=2]	stock-resource-visible
block-nand_gate	nand_gate representative state	177	100	180	morered:nand_gate[facing=down,rotation=3]	stock-resource-visible
block-nor_gate	nor_gate representative state	180	100	180	morered:nor_gate[facing=down,rotation=0]	stock-resource-visible
block-not_gate	not_gate representative state	183	100	180	morered:not_gate[facing=down,rotation=1]	stock-resource-visible
block-or_gate	or_gate representative state	186	100	180	morered:or_gate[facing=down,rotation=2]	stock-resource-visible
block-pulse_gate	pulse_gate representative state	189	100	180	morered:pulse_gate[facing=down,rotation=3,input_b=false]	stock-resource-visible
block-redwire_post	redwire_post representative state	192	100	180	morered:redwire_post[facing=down]	stock-resource-visible
block-redwire_post_plate	redwire_post_plate representative state	174	100	183	morered:redwire_post_plate[facing=down]	stock-resource-visible
block-redwire_post_relay_plate	redwire_post_relay_plate representative state	177	100	183	morered:redwire_post_relay_plate[facing=down]	stock-resource-visible
block-soldering_table	soldering_table representative state	180	100	183	morered:soldering_table	stock-resource-visible
block-stone_plate	stone_plate representative state	183	100	183	morered:stone_plate[facing=down,rotation=0]	stock-resource-visible
block-xnor_gate	xnor_gate representative state	186	100	183	morered:xnor_gate[facing=down,rotation=1]	stock-resource-visible
block-xor_gate	xor_gate representative state	189	100	183	morered:xor_gate[facing=down,rotation=2]	stock-resource-visible
wire-red_alloy_wire-west	red_alloy_wire connected floor pair	174	100	190	morered:red_alloy_wire[down=true]	connected-wire-visible
wire-red_alloy_wire-east	red_alloy_wire connected floor pair	175	100	190	morered:red_alloy_wire[down=true]	connected-wire-visible
wire-bundled_network_cable-west	bundled_network_cable connected floor pair	178	100	190	morered:bundled_network_cable[down=true]	connected-wire-visible
wire-bundled_network_cable-east	bundled_network_cable connected floor pair	179	100	190	morered:bundled_network_cable[down=true]	connected-wire-visible
wire-white_network_cable-west	white_network_cable connected floor pair	182	100	190	morered:white_network_cable[down=true]	connected-wire-visible
wire-white_network_cable-east	white_network_cable connected floor pair	183	100	190	morered:white_network_cable[down=true]	connected-wire-visible
